model,condition,lang,n,correct,accuracy,ci_low,ci_high
xlmr-ep6,en-en,en,1221,623,0.5102,0.4822,0.5382
xlmr-ep6,en-x,ru,1221,518,0.4242,0.3968,0.4522
xlmr-ep6,en-x,he,1221,437,0.3579,0.3315,0.3852
xlmr-ep6,en-x,es,1221,498,0.4079,0.3806,0.4357
xlmr-ep6,mixed,mix,1221,470,0.3849,0.358,0.4125
mbert-ep6,en-en,en,1221,558,0.457,0.4292,0.485
mbert-ep6,en-x,ru,1221,475,0.389,0.3621,0.4167
mbert-ep6,en-x,he,1221,420,0.344,0.3179,0.3711
mbert-ep6,en-x,es,1221,464,0.38,0.3532,0.4076
mbert-ep6,mixed,mix,1221,454,0.3718,0.3452,0.3993
