model,think,condition,lang,n,accuracy,ci_low,ci_high,unparsed
mbert-ep6,na,en-x,es,1221,0.38,0.3532,0.4076,0
mbert-ep6,na,en-x,es-nllb,1221,0.3726,0.346,0.4001,0
mbert-ep6,na,en-x,es-opus,1221,0.3382,0.3123,0.3653,0
mbert-ep6,na,en-x,he,1221,0.344,0.3179,0.3711,0
mbert-ep6,na,en-x,he-nllb,1221,0.3366,0.3107,0.3636,0
mbert-ep6,na,en-x,he-opus,1221,0.3407,0.3147,0.3678,0
mbert-ep6,na,en-x,ru,1221,0.389,0.3621,0.4167,0
mbert-ep6,na,en-x,ru-nllb,1221,0.38,0.3532,0.4076,0
mbert-ep6,na,en-x,ru-opus,1221,0.3726,0.346,0.4001,0
xlmr-ep6,na,en-x,es,1221,0.4079,0.3806,0.4357,0
xlmr-ep6,na,en-x,es-nllb,1221,0.3939,0.3669,0.4216,0
xlmr-ep6,na,en-x,es-opus,1221,0.3857,0.3588,0.4134,0
xlmr-ep6,na,en-x,he,1221,0.3579,0.3315,0.3852,0
xlmr-ep6,na,en-x,he-nllb,1221,0.3735,0.3468,0.401,0
xlmr-ep6,na,en-x,he-opus,1221,0.371,0.3444,0.3985,0
xlmr-ep6,na,en-x,ru,1221,0.4242,0.3968,0.4522,0
xlmr-ep6,na,en-x,ru-nllb,1221,0.4021,0.375,0.4299,0
xlmr-ep6,na,en-x,ru-opus,1221,0.3808,0.354,0.4084,0
