model,think,lang,n,flip_rate,toward_gold,away_gold,acc_en,acc_x,mcnemar_p
mbert-ep6,na,es,1221,0.5373,165,259,0.457,0.38,1e-05
mbert-ep6,na,es-nllb,1221,0.5086,138,241,0.457,0.3726,0.0
mbert-ep6,na,es-opus,1221,0.5438,142,287,0.457,0.3382,0.0
mbert-ep6,na,he,1221,0.6077,161,299,0.457,0.344,0.0
mbert-ep6,na,he-nllb,1221,0.6011,150,297,0.457,0.3366,0.0
mbert-ep6,na,he-opus,1221,0.6175,163,305,0.457,0.3407,0.0
mbert-ep6,na,ru,1221,0.5512,172,255,0.457,0.389,7e-05
mbert-ep6,na,ru-nllb,1221,0.5283,155,249,0.457,0.38,0.0
mbert-ep6,na,ru-opus,1221,0.5545,157,260,0.457,0.3726,0.0
xlmr-ep6,na,es,1221,0.4955,144,269,0.5102,0.4079,0.0
xlmr-ep6,na,es-nllb,1221,0.498,135,277,0.5102,0.3939,0.0
xlmr-ep6,na,es-opus,1221,0.5053,132,284,0.5102,0.3857,0.0
xlmr-ep6,na,he,1221,0.5471,126,312,0.5102,0.3579,0.0
xlmr-ep6,na,he-nllb,1221,0.5676,143,310,0.5102,0.3735,0.0
xlmr-ep6,na,he-opus,1221,0.5586,137,307,0.5102,0.371,0.0
xlmr-ep6,na,ru,1221,0.5127,155,260,0.5102,0.4242,0.0
xlmr-ep6,na,ru-nllb,1221,0.4824,131,263,0.5102,0.4021,0.0
xlmr-ep6,na,ru-opus,1221,0.525,137,295,0.5102,0.3808,0.0
