model,think,condition,lang,n,accuracy,ci_low,ci_high,unparsed
Qwen3.5:0.8B,off,en-en,en,1221,0.5168,0.4888,0.5447,0
Qwen3.5:0.8B,off,en-x,es,1221,0.4242,0.3968,0.4522,0
Qwen3.5:0.8B,off,en-x,he,1221,0.3923,0.3653,0.42,0
Qwen3.5:0.8B,off,en-x,ru,1221,0.4758,0.4479,0.5039,0
Qwen3.5:4B,off,en-en,en,1221,0.7658,0.7412,0.7887,0
Qwen3.5:4B,off,en-x,es,1221,0.6863,0.6597,0.7117,0
Qwen3.5:4B,off,en-x,he,1221,0.6912,0.6648,0.7165,0
Qwen3.5:4B,off,en-x,ru,1221,0.697,0.6706,0.7221,0
haiku-4.5-subagent,na,en-en,en,1221,0.8542,0.8333,0.8729,0
haiku-4.5-subagent,na,en-x,es,1221,0.8329,0.811,0.8528,0
haiku-4.5-subagent,na,en-x,he,1221,0.8174,0.7947,0.838,1
haiku-4.5-subagent,na,en-x,ru,1221,0.8124,0.7896,0.8334,0
mbert-ep3,na,en-en,en,1221,0.4586,0.4309,0.4867,0
mbert-ep3,na,en-x,es,1221,0.3767,0.35,0.4043,0
mbert-ep3,na,en-x,he,1221,0.3382,0.3123,0.3653,0
mbert-ep3,na,en-x,ru,1221,0.38,0.3532,0.4076,0
mbert-ep6,na,en-en,en,1221,0.457,0.4292,0.485,0
mbert-ep6,na,en-x,es,1221,0.38,0.3532,0.4076,0
mbert-ep6,na,en-x,es-consensus,1221,0.3653,0.3387,0.3927,0
mbert-ep6,na,en-x,es-nllb,1221,0.3726,0.346,0.4001,0
mbert-ep6,na,en-x,es-nllb33,1221,0.3628,0.3363,0.3902,0
mbert-ep6,na,en-x,es-opus,1221,0.3382,0.3123,0.3653,0
mbert-ep6,na,en-x,he,1221,0.344,0.3179,0.3711,0
mbert-ep6,na,en-x,he-consensus,1221,0.3448,0.3187,0.3719,0
mbert-ep6,na,en-x,he-nllb,1221,0.3366,0.3107,0.3636,0
mbert-ep6,na,en-x,he-nllb33,1221,0.3309,0.3051,0.3578,0
mbert-ep6,na,en-x,he-opus,1221,0.3407,0.3147,0.3678,0
mbert-ep6,na,en-x,ru,1221,0.389,0.3621,0.4167,0
mbert-ep6,na,en-x,ru-consensus,1221,0.3931,0.3661,0.4208,0
mbert-ep6,na,en-x,ru-nllb,1221,0.38,0.3532,0.4076,0
mbert-ep6,na,en-x,ru-nllb33,1221,0.3972,0.3701,0.4249,0
mbert-ep6,na,en-x,ru-opus,1221,0.3726,0.346,0.4001,0
xlmr-ep3,na,en-en,en,1221,0.4832,0.4553,0.5112,0
xlmr-ep3,na,en-x,es,1221,0.3898,0.3629,0.4175,0
xlmr-ep3,na,en-x,he,1221,0.3407,0.3147,0.3678,0
xlmr-ep3,na,en-x,ru,1221,0.4005,0.3734,0.4282,0
xlmr-ep6,na,en-en,en,1221,0.5102,0.4822,0.5382,0
xlmr-ep6,na,en-x,es,1221,0.4079,0.3806,0.4357,0
xlmr-ep6,na,en-x,es-consensus,1221,0.4038,0.3766,0.4315,0
xlmr-ep6,na,en-x,es-nllb,1221,0.3939,0.3669,0.4216,0
xlmr-ep6,na,en-x,es-nllb33,1221,0.3956,0.3685,0.4233,0
xlmr-ep6,na,en-x,es-opus,1221,0.3857,0.3588,0.4134,0
xlmr-ep6,na,en-x,he,1221,0.3579,0.3315,0.3852,0
xlmr-ep6,na,en-x,he-consensus,1221,0.3587,0.3323,0.386,0
xlmr-ep6,na,en-x,he-nllb,1221,0.3735,0.3468,0.401,0
xlmr-ep6,na,en-x,he-nllb33,1221,0.3628,0.3363,0.3902,0
xlmr-ep6,na,en-x,he-opus,1221,0.371,0.3444,0.3985,0
xlmr-ep6,na,en-x,ru,1221,0.4242,0.3968,0.4522,0
xlmr-ep6,na,en-x,ru-consensus,1221,0.4128,0.3855,0.4406,0
xlmr-ep6,na,en-x,ru-nllb,1221,0.4021,0.375,0.4299,0
xlmr-ep6,na,en-x,ru-nllb33,1221,0.4161,0.3887,0.4439,0
xlmr-ep6,na,en-x,ru-opus,1221,0.3808,0.354,0.4084,0
